Artist,Title
Taylor Swift,Cruel Summer
Jack Harlow,Lovin On Me
Doja Cat,Paint The Town Red
SZA,Snooze
Taylor Swift,Is It Over Now? (Taylor's Version) [From The Vault]
Zach Bryan Featuring Kacey Musgraves,I Remember Everything
Luke Combs,Fast Car
Tate McRae,Greedy
Morgan Wallen,Last Night
Morgan Wallen,Thinkin' Bout Me
Dua Lipa,Houdini
Chris Stapleton,White Horse
Jelly Roll,Need A Favor
Doja Cat,Agora Hills
Tyla,Water
Drake Featuring Sexyy Red & SZA,Rich Baby Daddy
Mariah Carey,All I Want For Christmas Is You
Gunna,Fukumean
Jelly Roll With Lainey Wilson,Save Me
Dua Lipa,Dance The Night
Olivia Rodrigo,Vampire
Miley Cyrus,Used To Be Young
Paul Russell,Lil Boo Thang
Bad Bunny,Monaco
Drake Featuring J. Cole,First Person Shooter
Drake Featuring Yeat,IDGAF
Billie Eilish,What Was I Made For?
"Usher, Summer Walker & 21 Savage",Good Good
Miley Cyrus,Flowers
Mitski,My Love Mine All Mine
Noah Kahan,Stick Season
Wham!,Last Christmas
Taylor Swift,Now That We Don't Talk (Taylor's Version) [From The Vault]
Noah Kahan With Post Malone,Dial Drunk
Doechii Featuring Kodak Black,What It Is (Block Boy)
SZA,Kill Bill
Noah Kahan With Hozier,Northern Attitude
Bobby Helms,Jingle Bell Rock
Teddy Swims,Lose Control
Fuerza Regida & Marshmello,Harley Quinn
David Kushner,Daylight
Travis Scott,I Know ?
Jessie Murph & Jelly Roll,Wild Ones
Burl Ives,A Holly Jolly Christmas
Nicki Minaj & Ice Spice With Aqua,Barbie World
Warren Zeiders,Pretty Little Poison
Nate Smith,World On Fire
Victoria Monet,On My Mama
Taylor Swift,Slut! (Taylor's Version) [From The Vault]
Jung Kook,Standing Next To You
Lil Tecca,500lbs
Kenya Grace,Strangers
Taylor Swift,Say Don't Go (Taylor's Version) [From The Vault]
Olivia Rodrigo,Bad Idea Right?
Rod Wave,Great Gatsby
Olivia Rodrigo,Get Him Back!
Dylan Scott,Can't Have Mine
Drake,Virginia Beach
Morgan Wallen,Everything I Love
Tim McGraw,Standing Room Only
Jason Aldean,Try That In A Small Town
Cody Johnson,The Painter
Megan Thee Stallion,Cobra
HARDY,Truck Bed
Karol G & Peso Pluma,Qlona
"The Kid LAROI, Jung Kook & Central Cee",Too Much
Bad Bunny & Feid,Perro Negro
Zach Bryan Featuring The War And Treaty,Hey Driver
Taylor Swift,Style (Taylor's Version)
Oliver Anthony Music,Rich Men North Of Richmond
Travis Scott Featuring Drake,Meltdown
Cardi B & Megan Thee Stallion,Bongos
Drake Featuring SZA,Slime You Out
Maluma & Carin Leon,Segun Quien
Calle 24 x Chino Pacas x Fuerza Regida,Que Onda
The Beatles,Now And Then
Selena Gomez,Single Soon
Parker McCollum,Burn It Down
Myke Towers,LaLa
Taylor Swift,Bad Blood (Taylor's Version)
Olivia Rodrigo,Can't Catch Me Now
Rod Wave Featuring 21 Savage,Turks & Caicos
Sexyy Red,SkeeYee
Jung Kook & Jack Harlow,3D
Taylor Swift,Out Of The Woods (Taylor's Version)
Taylor Swift,Wildest Dreams (Taylor's Version)
Grupo Frontera & Grupo Firme,El Amor de Su Vida
Dan + Shay,Save Me The Trouble
Dustin Lynch,Stars Like Confetti
Stray Kids,LALALALA
Jung Kook Featuring Latto,Seven
Taylor Swift,Suburban Legends (Taylor's Version) [From The Vault]
Taylor Swift,Blank Space (Taylor's Version)
Carly Pearce Featuring Chris Stapleton,We Don't Fight Anymore
Lil Durk,Smurk Carter
Karol G,Mi Ex Tenia Razon
Riley Green Featuring Luke Combs,Different 'Round Here
Luke Bryan,But I Got A Beer In My Hand
YoungBoy Never Broke Again & Rod Wave,Better Than Ever
310babii,Soak City (Do It)
