danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.864,0.461,2,-6.757,1,0.0458,0.663,1.88e-05,0.0971,0.817,109.972,audio_features,2YhDIoMRcu2pWWZVateaP4,spotify:track:2YhDIoMRcu2pWWZVateaP4,https://api.spotify.com/v1/tracks/2YhDIoMRcu2pWWZVateaP4,https://api.spotify.com/v1/audio-analysis/2YhDIoMRcu2pWWZVateaP4,201667,4
0.766,0.872,5,-8.12,0,0.0936,0.0455,9.57e-05,0.0852,0.869,164.022,audio_features,4fARowx7Swbgt8TYaKhK2a,spotify:track:4fARowx7Swbgt8TYaKhK2a,https://api.spotify.com/v1/tracks/4fARowx7Swbgt8TYaKhK2a,https://api.spotify.com/v1/audio-analysis/4fARowx7Swbgt8TYaKhK2a,209500,4
0.655,0.77,8,-8.403,1,0.031,0.0548,1.53e-05,0.139,0.76,129.985,audio_features,2vjdRVYrR2w8Ux4UsjA5I8,spotify:track:2vjdRVYrR2w8Ux4UsjA5I8,https://api.spotify.com/v1/tracks/2vjdRVYrR2w8Ux4UsjA5I8,https://api.spotify.com/v1/audio-analysis/2vjdRVYrR2w8Ux4UsjA5I8,199987,4
0.596,0.582,0,-4.151,1,0.0349,0.173,3.47e-05,0.15,0.57,95.189,audio_features,6ditxim8H91c4d9WfGruK4,spotify:track:6ditxim8H91c4d9WfGruK4,https://api.spotify.com/v1/tracks/6ditxim8H91c4d9WfGruK4,https://api.spotify.com/v1/audio-analysis/6ditxim8H91c4d9WfGruK4,186842,4
0.7,0.74,2,-6.33,1,0.0488,0.408,0.0,0.105,0.367,140.007,audio_features,7mHRpRhtNMAI3i54m4J91e,spotify:track:7mHRpRhtNMAI3i54m4J91e,https://api.spotify.com/v1/tracks/7mHRpRhtNMAI3i54m4J91e,https://api.spotify.com/v1/audio-analysis/7mHRpRhtNMAI3i54m4J91e,174857,4
0.759,0.515,1,-7.465,1,0.152,0.143,8.06e-06,0.117,0.628,169.967,audio_features,1gUl0lGK55FVAFyg1GHNzv,spotify:track:1gUl0lGK55FVAFyg1GHNzv,https://api.spotify.com/v1/tracks/1gUl0lGK55FVAFyg1GHNzv,https://api.spotify.com/v1/audio-analysis/1gUl0lGK55FVAFyg1GHNzv,220514,4
0.817,0.809,11,-3.81,1,0.0337,0.344,0.0,0.0784,0.949,110.019,audio_features,63rBHg8zpZz2ku4CPJa8sm,spotify:track:63rBHg8zpZz2ku4CPJa8sm,https://api.spotify.com/v1/tracks/63rBHg8zpZz2ku4CPJa8sm,https://api.spotify.com/v1/audio-analysis/63rBHg8zpZz2ku4CPJa8sm,185228,4
0.65,0.827,0,-5.62,1,0.0615,0.0371,1.66e-06,0.429,0.894,99.029,audio_features,553VSmgoqTw6SYLsfRFQfb,spotify:track:553VSmgoqTw6SYLsfRFQfb,https://api.spotify.com/v1/tracks/553VSmgoqTw6SYLsfRFQfb,https://api.spotify.com/v1/audio-analysis/553VSmgoqTw6SYLsfRFQfb,238227,4
0.733,0.367,1,-9.883,0,0.0621,0.691,7.84e-05,0.129,0.247,90.0,audio_features,1Fg73FMRGjVzQ1Z4AFQE4A,spotify:track:1Fg73FMRGjVzQ1Z4AFQE4A,https://api.spotify.com/v1/tracks/1Fg73FMRGjVzQ1Z4AFQE4A,https://api.spotify.com/v1/audio-analysis/1Fg73FMRGjVzQ1Z4AFQE4A,183680,4
0.693,0.41,9,-13.528,0,0.0959,0.449,1.92e-05,0.109,0.189,82.034,audio_features,6id9dDQ37castbmQ5j2si5,spotify:track:6id9dDQ37castbmQ5j2si5,https://api.spotify.com/v1/tracks/6id9dDQ37castbmQ5j2si5,https://api.spotify.com/v1/audio-analysis/6id9dDQ37castbmQ5j2si5,167817,4
0.602,0.446,6,-9.144,1,0.0646,0.559,9.34e-06,0.143,0.72,83.564,audio_features,5gQ4Xg5Ut42nli77PEWLMU,spotify:track:5gQ4Xg5Ut42nli77PEWLMU,https://api.spotify.com/v1/tracks/5gQ4Xg5Ut42nli77PEWLMU,https://api.spotify.com/v1/audio-analysis/5gQ4Xg5Ut42nli77PEWLMU,238907,4
0.567,0.611,1,-9.971,1,0.109,0.168,0.0,0.133,0.807,80.589,audio_features,3WDCJPeTF0nxYaGDazmBxV,spotify:track:3WDCJPeTF0nxYaGDazmBxV,https://api.spotify.com/v1/tracks/3WDCJPeTF0nxYaGDazmBxV,https://api.spotify.com/v1/audio-analysis/3WDCJPeTF0nxYaGDazmBxV,148148,4
0.697,0.749,0,-9.837,0,0.05,0.581,0.0169,0.138,0.896,144.933,audio_features,6AtEB1oeOrQGuz8KeWzB8a,spotify:track:6AtEB1oeOrQGuz8KeWzB8a,https://api.spotify.com/v1/tracks/6AtEB1oeOrQGuz8KeWzB8a,https://api.spotify.com/v1/audio-analysis/6AtEB1oeOrQGuz8KeWzB8a,164000,4
0.702,0.586,2,-5.322,1,0.271,0.508,0.0,0.241,0.828,96.076,audio_features,0T2gMobMtByoq6J5aZ04IK,spotify:track:0T2gMobMtByoq6J5aZ04IK,https://api.spotify.com/v1/tracks/0T2gMobMtByoq6J5aZ04IK,https://api.spotify.com/v1/audio-analysis/0T2gMobMtByoq6J5aZ04IK,209227,4
0.68,0.662,8,-6.955,1,0.0471,0.553,9.84e-05,0.0806,0.56,109.947,audio_features,135gSL1GHbUICdWdzs2l1u,spotify:track:135gSL1GHbUICdWdzs2l1u,https://api.spotify.com/v1/tracks/135gSL1GHbUICdWdzs2l1u,https://api.spotify.com/v1/audio-analysis/135gSL1GHbUICdWdzs2l1u,196404,4
0.672,0.716,4,-4.792,0,0.0436,0.151,0.0,0.103,0.698,139.984,audio_features,3K9QSq4KRzgsAI6PvJTpYh,spotify:track:3K9QSq4KRzgsAI6PvJTpYh,https://api.spotify.com/v1/tracks/3K9QSq4KRzgsAI6PvJTpYh,https://api.spotify.com/v1/audio-analysis/3K9QSq4KRzgsAI6PvJTpYh,186582,4
0.775,0.388,5,-6.443,0,0.0487,0.236,0.378,0.0472,0.655,92.026,audio_features,0m7viIVflZthrugZzvS6Ro,spotify:track:0m7viIVflZthrugZzvS6Ro,https://api.spotify.com/v1/tracks/0m7viIVflZthrugZzvS6Ro,https://api.spotify.com/v1/audio-analysis/0m7viIVflZthrugZzvS6Ro,189818,4
0.546,0.459,10,-7.126,0,0.0381,0.566,0.0,0.126,0.655,163.938,audio_features,7tD2i6EukCr32icm7SLQWs,spotify:track:7tD2i6EukCr32icm7SLQWs,https://api.spotify.com/v1/tracks/7tD2i6EukCr32icm7SLQWs,https://api.spotify.com/v1/audio-analysis/7tD2i6EukCr32icm7SLQWs,182317,4
0.769,0.398,6,-4.34,0,0.0529,0.463,0.00342,0.132,0.539,121.854,audio_features,5ET0v7PPXclXu7mIycy2tC,spotify:track:5ET0v7PPXclXu7mIycy2tC,https://api.spotify.com/v1/tracks/5ET0v7PPXclXu7mIycy2tC,https://api.spotify.com/v1/audio-analysis/5ET0v7PPXclXu7mIycy2tC,155366,4
0.687,0.495,4,-4.435,1,0.0366,0.302,0.00345,0.114,0.391,85.052,audio_features,55io5eGZfDoQ7tpwiDBU7X,spotify:track:55io5eGZfDoQ7tpwiDBU7X,https://api.spotify.com/v1/tracks/55io5eGZfDoQ7tpwiDBU7X,https://api.spotify.com/v1/audio-analysis/55io5eGZfDoQ7tpwiDBU7X,210199,4
0.494,0.573,0,-7.205,1,0.172,0.736,5.06e-05,0.172,0.523,122.209,audio_features,5Wbq2hjRR4tYki3tba2I0X,spotify:track:5Wbq2hjRR4tYki3tba2I0X,https://api.spotify.com/v1/tracks/5Wbq2hjRR4tYki3tba2I0X,https://api.spotify.com/v1/audio-analysis/5Wbq2hjRR4tYki3tba2I0X,254318,4
0.645,0.56,8,-8.592,0,0.289,0.399,0.000317,0.339,0.51,157.954,audio_features,3LE9ZrhZ61C5a8tTWZnaTH,spotify:track:3LE9ZrhZ61C5a8tTWZnaTH,https://api.spotify.com/v1/tracks/3LE9ZrhZ61C5a8tTWZnaTH,https://api.spotify.com/v1/audio-analysis/3LE9ZrhZ61C5a8tTWZnaTH,217015,4
0.679,0.506,9,-7.724,0,0.0241,0.313,0.0,0.11,0.637,96.025,audio_features,0oOYn5sWPqtI5OkzevWli5,spotify:track:0oOYn5sWPqtI5OkzevWli5,https://api.spotify.com/v1/tracks/0oOYn5sWPqtI5OkzevWli5,https://api.spotify.com/v1/audio-analysis/0oOYn5sWPqtI5OkzevWli5,191208,4
0.444,0.592,9,-5.155,1,0.0261,0.0103,0.0,0.178,0.45,155.868,audio_features,0HewB52av43uEBAZSatZQr,spotify:track:0HewB52av43uEBAZSatZQr,https://api.spotify.com/v1/tracks/0HewB52av43uEBAZSatZQr,https://api.spotify.com/v1/audio-analysis/0HewB52av43uEBAZSatZQr,192566,4
0.674,0.502,1,-7.603,0,0.24,0.567,0.0,0.11,0.286,100.212,audio_features,2nFDM7uMOdPGPz37FluIob,spotify:track:2nFDM7uMOdPGPz37FluIob,https://api.spotify.com/v1/tracks/2nFDM7uMOdPGPz37FluIob,https://api.spotify.com/v1/audio-analysis/2nFDM7uMOdPGPz37FluIob,248027,4
0.829,0.387,2,-8.265,0,0.0466,0.144,0.00101,0.0331,0.478,102.95,audio_features,23375X0SDPn584EseVu41H,spotify:track:23375X0SDPn584EseVu41H,https://api.spotify.com/v1/tracks/23375X0SDPn584EseVu41H,https://api.spotify.com/v1/audio-analysis/23375X0SDPn584EseVu41H,255140,4
0.502,0.586,0,-5.892,0,0.0369,0.411,1.16e-05,0.125,0.606,81.901,audio_features,6fEGJcescdNUSSBCKLJvYx,spotify:track:6fEGJcescdNUSSBCKLJvYx,https://api.spotify.com/v1/tracks/6fEGJcescdNUSSBCKLJvYx,https://api.spotify.com/v1/audio-analysis/6fEGJcescdNUSSBCKLJvYx,287026,4
0.786,0.461,2,-9.502,1,0.0379,0.0726,0.0,0.146,0.52,99.973,audio_features,6RoIJwAIJKN5WxJQS8N7eF,spotify:track:6RoIJwAIJKN5WxJQS8N7eF,https://api.spotify.com/v1/tracks/6RoIJwAIJKN5WxJQS8N7eF,https://api.spotify.com/v1/audio-analysis/6RoIJwAIJKN5WxJQS8N7eF,193402,4
0.691,0.667,7,-9.127,0,0.235,0.311,0.000546,0.0954,0.167,170.025,audio_features,38X1kHDz7zB9apxBR2rcxs,spotify:track:38X1kHDz7zB9apxBR2rcxs,https://api.spotify.com/v1/tracks/38X1kHDz7zB9apxBR2rcxs,https://api.spotify.com/v1/audio-analysis/38X1kHDz7zB9apxBR2rcxs,184309,4
0.629,0.71,11,-4.1,0,0.112,0.0988,0.0,0.172,0.677,131.844,audio_features,3VvzFAlVjSAWmpHZRz5spO,spotify:track:3VvzFAlVjSAWmpHZRz5spO,https://api.spotify.com/v1/tracks/3VvzFAlVjSAWmpHZRz5spO,https://api.spotify.com/v1/audio-analysis/3VvzFAlVjSAWmpHZRz5spO,175009,4
0.76,0.393,7,-11.025,1,0.0374,0.354,0.208,0.0958,0.539,95.397,audio_features,0xOwRKoD0L1G9d97ExoPqt,spotify:track:0xOwRKoD0L1G9d97ExoPqt,https://api.spotify.com/v1/tracks/0xOwRKoD0L1G9d97ExoPqt,https://api.spotify.com/v1/audio-analysis/0xOwRKoD0L1G9d97ExoPqt,301453,4
0.48,0.298,1,-12.324,0,0.0905,0.62,3.74e-06,0.107,0.416,76.273,audio_features,27InG1fVAp7DbCjLqzv0PQ,spotify:track:27InG1fVAp7DbCjLqzv0PQ,https://api.spotify.com/v1/tracks/27InG1fVAp7DbCjLqzv0PQ,https://api.spotify.com/v1/audio-analysis/27InG1fVAp7DbCjLqzv0PQ,225306,4
0.692,0.382,5,-9.466,1,0.0755,0.158,0.0,0.205,0.691,87.484,audio_features,3tDJ1E5x8lp2CjvN1tnG64,spotify:track:3tDJ1E5x8lp2CjvN1tnG64,https://api.spotify.com/v1/tracks/3tDJ1E5x8lp2CjvN1tnG64,https://api.spotify.com/v1/audio-analysis/3tDJ1E5x8lp2CjvN1tnG64,242738,4
0.635,0.412,9,-12.492,1,0.0564,0.0684,0.0,0.232,0.452,169.885,audio_features,3rjxin2skdCpYkUuUWuMmF,spotify:track:3rjxin2skdCpYkUuUWuMmF,https://api.spotify.com/v1/tracks/3rjxin2skdCpYkUuUWuMmF,https://api.spotify.com/v1/audio-analysis/3rjxin2skdCpYkUuUWuMmF,209000,4
0.631,0.534,0,-9.016,0,0.111,0.259,7.45e-06,0.098,0.571,77.127,audio_features,2GF3MbeKzKsnkB0yEra23u,spotify:track:2GF3MbeKzKsnkB0yEra23u,https://api.spotify.com/v1/tracks/2GF3MbeKzKsnkB0yEra23u,https://api.spotify.com/v1/audio-analysis/2GF3MbeKzKsnkB0yEra23u,228891,4
0.53,0.855,5,-2.764,1,0.0614,0.157,0.0,0.157,0.503,81.95,audio_features,2sVxymal8uQ64UDn5aAoOZ,spotify:track:2sVxymal8uQ64UDn5aAoOZ,https://api.spotify.com/v1/tracks/2sVxymal8uQ64UDn5aAoOZ,https://api.spotify.com/v1/audio-analysis/2sVxymal8uQ64UDn5aAoOZ,217160,4
0.693,0.483,7,-7.923,1,0.048,0.162,0.00076,0.0629,0.243,98.999,audio_features,6M3QXcbCwOq5htJoTAkHip,spotify:track:6M3QXcbCwOq5htJoTAkHip,https://api.spotify.com/v1/tracks/6M3QXcbCwOq5htJoTAkHip,https://api.spotify.com/v1/audio-analysis/6M3QXcbCwOq5htJoTAkHip,189135,4
