Artist,Title
Aretha_Franklin,Respect
The_Temptations,My Girl
Ben_E_King,Stand by Me
Marvin_Gaye,I Want You
Otis_Redding,Try a Little Tenderness
Stevie_Wonder,Living for the City
Etta_James,At Last
Ray_Charles,What’d I Say
Percy_Sledge,When a Man Loves a Woman
Michael_Jackson,Don’t Stop ‚Til You Get Enough
Diana_Ross,Ain’t No Mountain High Enough
Gladys_Knight_The_Pips,Midnight Train to Georgia
Smokey_Robinson_The_Miracles,The Tracks of My Tears
Sam_Cooke,A Change Is Gonna Come
The_Jackson_Five,I Want You Back
Al_Green,Let’s Stay Together
Aretha_Franklin,You Make Me Feel Like A Natural Woman
Marvin_Gaye,I Heard It Through The Grapevine
Sam_Dave,Soul Man
The_Flamingos,I Only Have Eyes For You
