,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
0,0.765,0.529,-8.243,0.234,0.408,0.00431,0.0862,0.529,123.946,2
1,0.605,0.46,-7.36,0.0476,0.467,0.000463,0.112,0.216,77.947,0
2,0.679,0.484,-10.156,0.0279,0.683,0.00123,0.0833,0.454,139.951,0
3,0.717,0.68,-6.263,0.0371,0.466,8.34e-05,0.24,0.808,107.962,3
4,0.496,0.802,-3.684,0.0396,0.107,0.0,0.307,0.371,101.024,0
5,0.582,0.865,-3.517,0.109,0.149,0.000152,0.316,0.655,103.496,3
6,0.736,0.494,-9.783,0.0291,0.408,1.33e-05,0.134,0.807,111.299,3
7,0.461,0.294,-12.014,0.0838,0.564,0.0,0.102,0.365,208.169,0
8,0.563,0.626,-9.109,0.0441,0.643,0.0,0.115,0.551,92.078,0
9,0.586,0.844,-5.686,0.0767,0.704,0.000135,0.321,0.916,87.522,3
10,0.653,0.687,-11.519,0.0903,0.146,4.51e-06,0.144,0.256,174.863,0
11,0.817,0.713,-6.799,0.0441,0.0054,5.91e-05,0.159,0.75,124.97,3
12,0.644,0.747,-5.302,0.086,0.394,0.0,0.166,0.298,126.185,0
13,0.922,0.376,-7.42,0.0577,0.0414,0.0209,0.0939,0.263,102.019,0
14,0.673,0.409,-10.716,0.0343,0.00369,0.00111,0.113,0.236,97.979,0
15,0.595,0.921,-6.216,0.0414,0.494,0.0,0.248,0.84,89.981,3
16,0.757,0.668,-9.316,0.263,0.227,0.0,0.364,0.819,145.125,2
17,0.459,0.461,-7.546,0.0398,0.678,0.0,0.109,0.123,99.747,0
18,0.608,0.575,-9.724,0.369,0.328,0.0,0.103,0.631,75.81,2
19,0.664,0.693,-6.679,0.328,0.0293,0.0,0.203,0.658,167.162,2
20,0.776,0.428,-7.216,0.14,0.0358,0.0,0.101,0.912,77.521,3
21,0.871,0.49,-8.533,0.313,0.14,0.00279,0.116,0.591,139.974,2
22,0.65,0.669,-9.704,0.357,0.188,0.000142,0.0816,0.65,180.113,2
23,0.692,0.488,-7.881,0.0414,0.016,0.0,0.224,0.145,80.027,0
24,0.718,0.621,-9.114,0.283,0.194,0.0,0.338,0.287,124.977,2
25,0.777,0.711,-6.951,0.152,0.0162,0.0,0.107,0.457,103.997,3
26,0.626,0.793,-6.403,0.0523,0.0719,0.785,0.112,0.103,122.916,0
27,0.217,0.943,-3.44,0.07,1.8e-05,0.158,0.305,0.32,159.724,0
28,0.864,0.461,-6.757,0.0458,0.663,1.88e-05,0.0971,0.817,109.972,3
29,0.766,0.872,-8.12,0.0936,0.0455,9.57e-05,0.0852,0.869,164.022,3
30,0.655,0.77,-8.403,0.031,0.0548,1.53e-05,0.139,0.76,129.985,3
31,0.596,0.582,-4.151,0.0349,0.173,3.47e-05,0.15,0.57,95.189,0
32,0.7,0.74,-6.33,0.0488,0.408,0.0,0.105,0.367,140.007,0
33,0.759,0.515,-7.465,0.152,0.143,8.06e-06,0.117,0.628,169.967,3
34,0.817,0.809,-3.81,0.0337,0.344,0.0,0.0784,0.949,110.019,3
35,0.65,0.827,-5.62,0.0615,0.0371,1.66e-06,0.429,0.894,99.029,3
36,0.733,0.367,-9.883,0.0621,0.691,7.84e-05,0.129,0.247,90.0,0
37,0.693,0.41,-13.528,0.0959,0.449,1.92e-05,0.109,0.189,82.034,0
38,0.602,0.446,-9.144,0.0646,0.559,9.34e-06,0.143,0.72,83.564,0
39,0.567,0.611,-9.971,0.109,0.168,0.0,0.133,0.807,80.589,3
40,0.697,0.749,-9.837,0.05,0.581,0.0169,0.138,0.896,144.933,3
41,0.702,0.586,-5.322,0.271,0.508,0.0,0.241,0.828,96.076,2
42,0.68,0.662,-6.955,0.0471,0.553,9.84e-05,0.0806,0.56,109.947,0
43,0.672,0.716,-4.792,0.0436,0.151,0.0,0.103,0.698,139.984,3
44,0.775,0.388,-6.443,0.0487,0.236,0.378,0.0472,0.655,92.026,3
45,0.546,0.459,-7.126,0.0381,0.566,0.0,0.126,0.655,163.938,0
46,0.769,0.398,-4.34,0.0529,0.463,0.00342,0.132,0.539,121.854,0
47,0.687,0.495,-4.435,0.0366,0.302,0.00345,0.114,0.391,85.052,0
48,0.494,0.573,-7.205,0.172,0.736,5.06e-05,0.172,0.523,122.209,0
