danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.765,0.529,4,-8.243,0,0.234,0.408,0.00431,0.0862,0.529,123.946,audio_features,6TPZ9uafWLa1xtrPOf8D3n,spotify:track:6TPZ9uafWLa1xtrPOf8D3n,https://api.spotify.com/v1/tracks/6TPZ9uafWLa1xtrPOf8D3n,https://api.spotify.com/v1/audio-analysis/6TPZ9uafWLa1xtrPOf8D3n,198387,4
0.605,0.46,8,-7.36,1,0.0476,0.467,0.000463,0.112,0.216,77.947,audio_features,3JQLjyU7rZURdxZDYCBKsG,spotify:track:3JQLjyU7rZURdxZDYCBKsG,https://api.spotify.com/v1/tracks/3JQLjyU7rZURdxZDYCBKsG,https://api.spotify.com/v1/audio-analysis/3JQLjyU7rZURdxZDYCBKsG,143846,5
0.679,0.484,9,-10.156,0,0.0279,0.683,0.00123,0.0833,0.454,139.951,audio_features,7D1EHaDefSM13mDQ67dFH8,spotify:track:7D1EHaDefSM13mDQ67dFH8,https://api.spotify.com/v1/tracks/7D1EHaDefSM13mDQ67dFH8,https://api.spotify.com/v1/audio-analysis/7D1EHaDefSM13mDQ67dFH8,109714,4
0.717,0.68,0,-6.263,1,0.0371,0.466,8.34e-05,0.24,0.808,107.962,audio_features,7IP4Qfye1hp3y8QjwBaEwP,spotify:track:7IP4Qfye1hp3y8QjwBaEwP,https://api.spotify.com/v1/tracks/7IP4Qfye1hp3y8QjwBaEwP,https://api.spotify.com/v1/audio-analysis/7IP4Qfye1hp3y8QjwBaEwP,206667,4
0.496,0.802,8,-3.684,1,0.0396,0.107,0.0,0.307,0.371,101.024,audio_features,5vHZ1urxINvhjJRfjlFaEH,spotify:track:5vHZ1urxINvhjJRfjlFaEH,https://api.spotify.com/v1/tracks/5vHZ1urxINvhjJRfjlFaEH,https://api.spotify.com/v1/audio-analysis/5vHZ1urxINvhjJRfjlFaEH,304704,4
0.582,0.865,7,-3.517,0,0.109,0.149,0.000152,0.316,0.655,103.496,audio_features,1wv3PSHE5EOXNROmCgIKMd,spotify:track:1wv3PSHE5EOXNROmCgIKMd,https://api.spotify.com/v1/tracks/1wv3PSHE5EOXNROmCgIKMd,https://api.spotify.com/v1/audio-analysis/1wv3PSHE5EOXNROmCgIKMd,337586,4
0.736,0.494,8,-9.783,1,0.0291,0.408,1.33e-05,0.134,0.807,111.299,audio_features,4m2XtKxra20Gvy5E6dFcq9,spotify:track:4m2XtKxra20Gvy5E6dFcq9,https://api.spotify.com/v1/tracks/4m2XtKxra20Gvy5E6dFcq9,https://api.spotify.com/v1/audio-analysis/4m2XtKxra20Gvy5E6dFcq9,185745,4
0.461,0.294,9,-12.014,0,0.0838,0.564,0.0,0.102,0.365,208.169,audio_features,24olJ8aA7hLTyfBcnAvSPI,spotify:track:24olJ8aA7hLTyfBcnAvSPI,https://api.spotify.com/v1/tracks/24olJ8aA7hLTyfBcnAvSPI,https://api.spotify.com/v1/audio-analysis/24olJ8aA7hLTyfBcnAvSPI,138791,4
0.563,0.626,8,-9.109,1,0.0441,0.643,0.0,0.115,0.551,92.078,audio_features,5x2rPN1YTfVgsUbAdYig70,spotify:track:5x2rPN1YTfVgsUbAdYig70,https://api.spotify.com/v1/tracks/5x2rPN1YTfVgsUbAdYig70,https://api.spotify.com/v1/audio-analysis/5x2rPN1YTfVgsUbAdYig70,101770,4
0.586,0.844,0,-5.686,0,0.0767,0.704,0.000135,0.321,0.916,87.522,audio_features,3vfT2o1QejA6j3taKRZ9pK,spotify:track:3vfT2o1QejA6j3taKRZ9pK,https://api.spotify.com/v1/tracks/3vfT2o1QejA6j3taKRZ9pK,https://api.spotify.com/v1/audio-analysis/3vfT2o1QejA6j3taKRZ9pK,207471,4
0.653,0.687,0,-11.519,0,0.0903,0.146,4.51e-06,0.144,0.256,174.863,audio_features,4lUIqOcsZZKYlFyA2gx33r,spotify:track:4lUIqOcsZZKYlFyA2gx33r,https://api.spotify.com/v1/tracks/4lUIqOcsZZKYlFyA2gx33r,https://api.spotify.com/v1/audio-analysis/4lUIqOcsZZKYlFyA2gx33r,179657,4
0.817,0.713,10,-6.799,0,0.0441,0.0054,5.91e-05,0.159,0.75,124.97,audio_features,7BTEremsjoUZleNFBN3IaQ,spotify:track:7BTEremsjoUZleNFBN3IaQ,https://api.spotify.com/v1/tracks/7BTEremsjoUZleNFBN3IaQ,https://api.spotify.com/v1/audio-analysis/7BTEremsjoUZleNFBN3IaQ,185625,4
0.644,0.747,7,-5.302,0,0.086,0.394,0.0,0.166,0.298,126.185,audio_features,4wHyuElu51hlNSNiCYCMlc,spotify:track:4wHyuElu51hlNSNiCYCMlc,https://api.spotify.com/v1/tracks/4wHyuElu51hlNSNiCYCMlc,https://api.spotify.com/v1/audio-analysis/4wHyuElu51hlNSNiCYCMlc,182909,4
