Artist,Title
Aretha Franklin,Respect
The Temptations,My Girl
Ben E King,Stand by Me
Marvin Gaye,I Want You
Otis Redding,Try a Little Tenderness
Stevie Wonder,Living for the City
Etta James,At Last
Ray Charles,What’d I Say
Percy Sledge,When a Man Loves a Woman
Michael Jackson,Don’t Stop ‚Til You Get Enough
Diana Ross,Ain’t No Mountain High Enough
Gladys Knight The Pips,Midnight Train to Georgia
Smokey Robinson The Miracles,The Tracks of My Tears
Sam Cooke,A Change Is Gonna Come
The Jackson Five,I Want You Back
Al Green,Let’s Stay Together
Aretha Franklin,You Make Me Feel Like A Natural Woman
Marvin Gaye,I Heard It Through The Grapevine
Sam Dave,Soul Man
The Flamingos,I Only Have Eyes For You
