organisationID,organisation
1,360skillsforlife
2,7 Cups of Tea
3,AIST Japan
4,APF France handicap
5,APHSA
6,Academy for Professional Excellence
7,Accenture
8,Active Learning Solutions
9,AdoptMatch
10,Adoption Share
11,Afinidata
12,Afri-Tec
13,AfriLearn
14,AiForGood
15,Aiba AI
16,Akshaya Patra Foundation
17,AlleghenyDHS
18,Amber Alert
19,Anima.ey
20,Anthology (prior Blackboard Learn)
21,Anxiety Canada Association
22,Augmented Intelligence Technologies
23,Bark Technologies
24,BerkeleySocialWelfare
25,Better Help
26,BigFamily360
27,Binti
28,Blue Frog
29,BlueBear
30,Bookbot
31,Buzzer
32,Care Director
33,Casebook
34,Child Helpline International
35,Child Rescue
36,Child Rescue Coalition
37,ChildHub
38,Children’s Mercy
39,Childsafe.AI
40,ClassDojo
41,Clearview AI
42,Cordata
43,Crisis Text Line
44,Cybertip Canada
45,DeafKidz International
46,DelhiPolice
47,Department of Social Policy and Social Work in Belgrade
48,Diona
49,Eccovia
50,EckerdConnects
51,Elephant Robotics
52,"Elomia Health, Inc."
53,Embodied
54,Exchange Initiative
55,Expert Centre Online Child Abuse (EOKM)
56,Expert Centre Online Child Abuse (EOKM) and Web-IQ
57,Eyerus
58,Floreo
59,FosterMore
60,FosterPort
61,Freedom Signal
62,FundaciónParaguaya
63,Gender Links
64,Global Emancipation Network
65,Google
66,Google/Youtube
67,HIC (Helping the Invisible Children)
68,HarassMap
69,Headspace
70,Hestia
71,Honda Research Institute
72,Humanity Road
73,IBM
74,Imisi3d
75,International Association of Internet Hotlines (INHOPE)
76,Internet Watch Foundation (IWF)
77,Interpol
78,KEYi Robot
79,Kent University
80,Kimetrica
81,Krunam
82,Learning Equality
83,LexisNexis
84,Lifeline
85,Luka
86,Lulu Lab
87,Lyssn
88,MDCPS
89,MIRALab – University of Geneva
90,Magic Horizons
91,Marinus Analytics
92,Mee Pya Tike
93,Mekong Club
94,Microsoft
95,Mightier
96,Mobcoder
97,Mobile Software AS
98,NO MORE
99,NSWDepartmentOfCommunitiesAndJustice
100,National Education Group Ltd
101,National Network to End Domestic Violence (NNEDV)
102,NetClean
103,Netsmart
104,None in Three (University of Huddersfield)
105,Northwoods
106,Not Just A Jewel GmbH
107,Nubian Virtual Reality Technology Company
108,Oide Technology in Education
109,PARO Robots
110,Peace Foundation
111,Plan International
112,Please see study for details.
113,Pollicy
114,Population Foundation of India
115,Primero
116,Project VIC International
117,Quadient
118,Raising Children Network
119,Rector Group of Companies Limited
120,SAMHSA
121,SOS Children's Villages
122,STaRS Lab
123,SafeToNet
124,Semantics 21
125,Shout-It-Now
126,Simon Solutions Inc
127,Social Work Mentor
128,Sp0n
129,Stem4
130,Stop The Traffik
131,Stop the Traffik
132,Suojellaan Lapsia Ry
133,Swansea University
134,Talk2U
135,Talkspace
136,Tech Matters
137,ThamesValleyPartnership
138,The Annie E. Casey Foundation
139,The Institute for Child Welfare Innovation
140,The National Center for Missing & Exploited Children (NCMEC)
141,The National Child Traumatic Stress Network
142,The Savvy Social Worker
143,TheHumanAspect
144,TheSafeguardingCompany
145,ThinkOfUs
146,Thompson Reuters
147,Thorn
148,ThrivePort
149,Tilli
150,Tombot
151,TouchAutism
152,Two hat
153,UK
154,UK Home Office
155,USChildren'sBureau
156,Unicef
157,Ushahidi Platform
158,Vanguard Industries
159,Veative Group
160,Vodafone Foundation India
161,Waliku and Save the Children
162,Web-IQ
163,Welthungerhilfe
164,Woebot Health
165,World Possible
166,Wysa
167,iFoster
168,x2AI
