resourceID,name,description,website
1,30 Days to Family,30 Days to Family® gives state and local agencies powerful tools to ensure more children in foster care can live with family members,https://forchildwelfare.org/30-days-to-family/
2,7 Cups,On-demand emotional health service and online therapy provider,https://www.7cups.com/online-therapy/
3,ACIS,Accenture Case Insight Solution (ACIS) helps keep children safe and families stable. How? By shining a light on risks and opportunities and empowering caseworkers to make better decisions.,https://www.accenture.com/us-en/services/public-service/health-and-human-service-case-insight-solution
4,ADAM Program,The ADAM Program quickly distributes missing child posters from the National Center for Missing & Exploited Children® to specific geographic search areas.,https://risk.lexisnexis.com/adam
5,AdoptMatch,An AI-driven platform that matches prospective adoptive parents with birth mothers.,https://www.adoptmatch.com/
6,Afinidata,Using artificial intelligence to provide parents with personalized early childhood education activities,https://afinidata.com/en/home/
7,AFRI-TEC alert app,App to be BE NOTIFIED IF LOVED ONES ARE IN AN EMERGENCY SITUATION,https://afri-tec.com/at-alert-app/
8,Amanda,Amanda is a proactive safety platform designed to protect children in social online environments by detecting grooming and making accurate profiling of age and gender.,https://aiba.ai/product/
9,Amber Alert,"AmberAlert.com is developing state of the art tools to help law enforcement do their jobs better, faster, and smarter.",http://amberalert.com/
10,Lyssn,"Lyssn empowers organizations large and small to improve services, support staff, and demonstrate use of evidence-based practices by providing actionable insights into every child welfare, crisis, coaching, wellness, or behavioral health interaction.",https://www.lyssn.io/
11,Child Support Enforcement (CSE),"Child Support Enforcement (CSE) programs can reduce operational costs while increasing responsiveness and improving services. This is a modern Customer Communication Management platform providing multiple delivery methods to track the results of communications to determine what is working, and to adjust those that do not satisfy clients’ needs.",https://www.quadient.com/en/resources/child-support-enforcement-systems-how-improve-program-performance
12,Anima.ey,AI based screening solution designed to detect child sexual abuse based on a child's drawing,https://anima-ey.com/
13,Artemis,"Artemis is a proactive, automated solution for counter-human trafficking stakeholders to increase efficiency in investigations and disruptions by identifying high-risk establishments, individuals, and content.",https://www.globalemancipation.ngo/products/
14,Aselo,"Bringing Modern Technology to Child Helplines: Customisable, open-source contact centre platform that allows children and youth to reach out to helplines via voice, SMS, webchat, WhatsApp, and Facebook Messenger if they come across CSAM","https://www.end-violence.org/grants/tech-matters#:~:text=Tech%20Matters%20will%20launch%20Aselo,if%20they%20come%20across%20CSAM."
15,AVEnueS,Virtual reality training experience that makes the unknown familiar in public service,https://www.accenture.com/us-en/services/public-service/caseworker-virtual-reality
16,Bark,Monitoring tool scans your child’s online activities in 30+ apps and social media platforms and alerts you to issues you need to know about.,https://www.bark.us/
17,Bebbo,App to help parents nurture and aid their child’s health and development,https://www.bebbo.app/
18,Binti,"Binti’s mobile friendly platform promotes partnership, drives better outcomes and saves social worker time",https://binti.com/
19,Anthology (prior Blackboard Learn),Anthology supports learners and institutions with the largest EdTech ecosystem on a global scale.,https://www.anthology.com/en-emea
20,BlueBear Lace,LACE enables investigators to extract more visual data and efficiently categorize vast amounts of image and video data from confiscated devices,https://bb-les.ca/
21,Bright Sky,App and website that provides practical support and information on how to respond to domestic abuse,https://www.hestia.org/brightsky
22,bSafe,"Emergency management system developed with a holistic view to offer prevention, handling and documentation of incidents both at an individual, organizational and societal level.",https://www.getbsafe.com/
23,Buzzer,App designed to be the fastest method of providing you a swift response in case of emergencies,https://buzzer-app.co.za/
24,CaliforniaChildWelfareIndicatorsProject,Data and technical assistance to promote child welfare system improvement,https://ccwip.berkeley.edu/
25,Calm Counter,"Calm Counter is a visual and audio tool to help people calm down when they are angry or anxious. The app includes a social story about anger, and audio/visual tools for calming down.",https://apps.apple.com/us/app/calm-counter-social-story-anger-management-tool/id470369893
26,Calm Harm,App to help teenagers manage or resist the urge to self-harm,https://calmharm.co.uk/
27,Nadine,"Nadine is one of the most realistic female humanoid social robot around the world. She can assist in a variety of roles, from personal coaching to supporting people with special needs, i.e by reading stories, showing images, putting on skype sessions, sending emails, and communicating with the family.",https://www.miralab.ch/index.php/nadine-social-robot/
28,Care Director Child Welfare Solution,"CareDirector supports individual, team and multi-agency case management activities in organizations across the health and human services spectrum, including aging, children services, and agencies serving people with disabilities.",https://www.caredirector.us/child-welfare-solution/
29,Caretas,Fictional peer support chatbots on social media to educate and raise awareness on sexting and revenge porn issues,https://talk2u.co/chat-stories/caretas
30,Caretivity,"Caretivity centralizes your communication with staff, clients, families, and partners, collaboration platforms",https://caretivity.com/
31,Case Aide Services,Case Aide Services by Northwoods takes on child welfare’s most time-consuming tasks. Our trusted team of experienced child welfare professionals becomes an extension of your staff and supports you every step of the way. Workers can focus on fostering healthier families without sacrificing their own well-being.,https://www.teamnorthwoods.com/services/case-aide-services
32,Traverse,"Northwoods' Traverse is a cloud-based, commercial off-the-shelf (COTS) document management, forms management, and mobility software purpose-built for human services agencies.",https://www.teamnorthwoods.com/products/traverse
33,Casebook,A platform for child welfare professionals to manage and improve the foster care system.,https://pbc.casebook.net/casebook-foster-care-software-solution/
34,Cass (previous Tess),"Mental Health Chatbot that provides self-help chats, through text message exchanges – similar to texting with a friend or coach.",https://www.cass.ai/
35,Cease.AI,"Cease.AI for Law Enforcement helps reduce investigator workloads and reduce mental stress by sorting, flagging and removing non-CSAM, allowing investigators to focus their efforts on new child abuse images. investigators upload case images, run their hash lists to eliminate known material, then let the AI identify, suggest a label, and prioritize images that contain previously uncatalogued CSAM.",https://www.twohat.com/cease-ai/faq/
36,Charity Tracker,"CharityTracker is an affordable, cloud-based case management software for human services agencies.",https://humanservices.charitytracker.net/
37,Child Abuse Image Database (CAID),CAID is two core databases; one is an image database to support analysing digital images and videos to support investigations. The second is a hash database that provides law enforcement with categorised image and video hashes to support CAID User Orgs when forensically examining evidence on seized devices.,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/759328/CAID_Brochure_May_2018_for_gov_uk.pdf
38,Child Growth Monitor,App to get accurate data on child malnutrition,https://www.childgrowthmonitor.org/
