topicID,topic
1,detecting CSAM online
2,education & development
3,fighting child abuse & exploitation
4,fighting domestic abuse & GBV
5,foster care/adoption/alternative care
6,health related topics
7,improving child welfare systems
8,missing children
9,online risks & safety issues
10,parenting support
11,participation & empowerment
12,predictive analytics
13,preventing child abuse
14,public & personal security
15,special needs
16,special topics
17,staff training & support
18,wellbeing & mental health support
